student_id,name,email,phone,college,branch,cgpa,backlogs,internships_count,projects_count,skills,certifications,passout_year,gap_year,github_profile,linkedin_profile,city,state
STU00013,Lipika Palan,hegdeaarini@example.net,9068234909,BVICAM Delhi,MCA,7.42,0,1,2,Tableau|C++|Django|NLP|Spring Boot|Power BI,5,2025,0,0,1,Naihati,Delhi
STU00014,Radha Behl,nidhi01@example.net,08865730531,DTU,EEE,5.48,1,1,1,Tableau|React|R|Spring Boot,0,2024,0,1,0,Buxar,Gujarat
STU00015,Hemang Sarin,dixitadvika@example.org,2224763360,GGSIPU,CSE,5.65,0,0,5,Excel|Power BI|Cloud Azure,0,2025,0,1,1,Cuttack,Punjab
STU00016,Yadavi Dalal,ekaja65@example.org,3038012398,Bennett Univ,ME,6.69,0,2,4,Spring Boot|Node.js|R|C++|Django|React,0,2024,0,0,1,Kirari Suleman Nagar,West Bengal
STU00017,Ishaan Varma,sonitristan@example.org,+915010533918,DTU,ECE,6.29,1,1,5,Django|SQL|Power BI,3,2024,0,1,0,Rewa,Karnataka
STU00018,Jai Sethi,schander@example.org,04127760423,IGDTUW,BBA,7.48,0,1,1,Cloud Azure|Django|NLP,1,2025,0,1,1,Mumbai,Tamil Nadu
STU00019,Eshana Venkataraman,falansura@example.net,+910226512054,DTU,CSE,6.38,1,1,1,C++|SQL|Tableau|Machine Learning|R|Django,2,2025,1,1,1,Fatehpur,Gujarat
STU00020,Veer Anne,keya57@example.com,+913658820106,Sharda Univ,CSE,5.93,0,1,5,Spring Boot|Deep Learning|C++|React|SQL|R|Java|Data Analysis,1,2024,0,0,1,Yamunanagar,Tamil Nadu
STU00021,Girish Narasimhan,jeremiah27@example.com,+912798669359,IP University,CSE,8.52,0,1,3,Cloud Azure|Machine Learning|Java,5,2024,0,0,1,Bikaner,Rajasthan
STU00022,Sai Dugal,zehaan90@example.net,7837477901,IP University,CSE,7.0,2,1,5,SQL|R|Java,3,2025,0,1,1,Naihati,Delhi
STU00023,Pahal Kumar,charita56@example.org,3022822519,BVICAM Delhi,EEE,7.26,0,2,2,C++|Data Analysis|Cloud Azure|Deep Learning|Django|SQL|Spring Boot|Cloud AWS,1,2024,1,0,1,Jamnagar,Punjab
STU00024,Meghana Doshi,qbatta@example.net,02511568782,DTU,MBA,5.92,0,0,1,Node.js|Excel|Tableau,1,2025,0,1,1,Bikaner,Haryana
STU00025,Ekta Pal,fpalla@example.net,6281626172,Sharda Univ,CE,6.71,0,2,3,Django|Cloud AWS|NLP|Python|Java|R|SQL|Deep Learning,3,2025,0,1,1,Kharagpur,Punjab
STU00026,Jackson Rana,qsaraf@example.net,04585127197,Jamia Hamdard,IT,7.3,0,1,5,Tableau|Machine Learning|Java|Data Analysis|Spring Boot|Python,5,2024,0,0,1,Ghaziabad,UP
STU00027,Raagini Chawla,balaybhavani@example.com,5163571461,NSUT,CE,6.16,0,1,4,Deep Learning|R|Tableau|Node.js|NLP|React,3,2024,0,1,1,Gudivada,Tamil Nadu
STU00028,Manan Acharya,aradhanasarna@example.net,4181113061,NSUT,BBA,7.54,0,0,5,NLP|React|Django|Excel|Spring Boot|C++|Machine Learning|Node.js,4,2024,0,0,1,Bareilly,UP
STU00029,Utkarsh Kant,advaithdara@example.com,08047531908,Sharda Univ,EEE,6.66,0,1,2,Python|Java|Excel|Node.js,1,2024,0,0,1,Anantapuram,Punjab
STU00030,Vasana Deshmukh,naveen96@example.com,06776851192,Amity Noida,IT,6.94,0,0,1,Excel|Power BI|React|Python|Machine Learning|C++,5,2024,0,1,1,Berhampore,Haryana
STU00031,Hemangini Prabhu,sneha92@example.com,03222638824,Bennett Univ,MBA,6.66,1,1,5,React|Power BI|Node.js|Excel|R|Cloud AWS|C++,3,2025,0,0,1,North Dumdum,UP
STU00032,Kamala Dhar,sneha90@example.com,01048783501,DTU,ME,8.87,0,1,2,NLP|SQL|R|Django|C++,0,2025,0,1,1,Ratlam,Rajasthan
STU00033,Kala Maharaj,hanskala@example.org,08108990023,GGSIPU,MBA,7.19,0,1,2,Python|Cloud AWS|Node.js|Spring Boot|Power BI|R,4,2025,1,0,1,Tinsukia,West Bengal
STU00034,Forum Balan,skrish@example.net,6257260863,Amity Noida,MBA,6.25,0,1,3,Python|Cloud AWS|NLP|Node.js|React|Django,1,2025,0,0,1,Thiruvananthapuram,Punjab
STU00035,Hardik Peri,jeetkoshy@example.net,2555917297,IGDTUW,IT,7.94,0,1,1,Cloud Azure|R|React|SQL|Python|Django|Tableau|Power BI,3,2024,0,1,0,Gopalpur,Punjab
STU00036,Garima Baria,amairarattan@example.net,06991358905,DTU,CSE,6.1,0,2,4,Spring Boot|Java|Data Analysis|C++|NLP|Django|Cloud Azure|Python,0,2024,1,0,1,Yamunanagar,Rajasthan
STU00037,Krisha Mitra,dayitasathe@example.net,07031201820,IP University,EEE,7.39,0,1,5,Machine Learning|Data Analysis|Power BI|Deep Learning|React|Django,2,2024,0,1,1,Burhanpur,Tamil Nadu
STU00038,Dalaja Cheema,ridhi22@example.net,04504137734,Sharda Univ,MBA,5.44,2,1,4,Tableau|SQL|Excel|Java|Data Analysis|Cloud AWS|R|NLP,0,2024,0,1,1,Muzaffarpur,Haryana
STU00039,Vasana Bhargava,fdass@example.net,4262841514,Bennett Univ,CSE,6.0,0,1,3,Node.js|C++|Cloud Azure|Power BI|NLP|Excel,5,2024,0,1,0,Berhampur,Gujarat
STU00040,Tanmayi Arora,noah96@example.net,+919962699636,GGSIPU,MBA,7.38,0,2,4,Machine Learning|NLP|Excel|Cloud Azure|Java|R|Node.js|C++,2,2025,0,1,0,Munger,Maharashtra
STU00041,Hardik More,salvisaksham@example.com,6290348013,GGSIPU,ME,7.86,0,1,3,Machine Learning|Spring Boot|Python|Django|C++,3,2024,0,1,1,Muzaffarpur,Rajasthan
STU00042,Eiravati Sethi,libnibhattacharyya@example.com,02199130096,NSUT,MCA,7.35,0,1,4,SQL|Deep Learning|Excel,5,2025,0,1,1,Hazaribagh,Gujarat
STU00043,Zilmil Goda,shravyacheema@example.org,05552241578,IGDTUW,CE,7.1,0,1,5,React|Machine Learning|Deep Learning|R|C++,0,2024,0,0,0,Khammam,Maharashtra
STU00044,Urishilla Kuruvilla,opalla@example.com,+910908978741,Bennett Univ,ME,6.93,0,0,4,Django|Deep Learning|C++|Cloud Azure|Node.js|R|React|Power BI,1,2024,0,1,0,Yamunanagar,Gujarat
STU00045,Mekhala Singh,vhegde@example.org,+913459099288,IP University,MCA,5.87,0,1,2,Python|Deep Learning|Node.js,0,2025,0,1,0,Amroha,UP
STU00046,Yatin Bahl,parmarzayyan@example.com,00071176070,GGSIPU,BBA,6.55,0,1,1,Java|R|Django|Cloud AWS|Deep Learning|Node.js|Spring Boot|C++,4,2024,0,1,1,Bellary,Gujarat
STU00047,Vritti Rajagopal,januja31@example.com,00688464147,Jamia Hamdard,ME,6.79,1,1,4,Cloud Azure|Deep Learning|Java|Django|Data Analysis|Node.js|C++,1,2024,0,1,1,Jalandhar,Maharashtra
STU00048,Gauri Bhagat,zayan18@example.org,05305876692,DTU,BBA,8.15,0,0,4,Deep Learning|Java|Excel|R|Data Analysis|React,2,2025,0,0,1,Sri Ganganagar,Karnataka
STU00049,Warda Lalla,royfiyaz@example.com,+912022366117,Amity Noida,EEE,7.51,0,1,5,R|Machine Learning|Spring Boot|Java|Python|SQL|Node.js|Deep Learning,5,2025,0,1,1,Mahbubnagar,Tamil Nadu
STU00050,Zashil Mistry,ghosewidisha@example.net,03551462002,Sharda Univ,IT,5.61,2,1,4,Java|Cloud Azure|NLP|Deep Learning|R|Python|Spring Boot,4,2024,1,0,0,Buxar,Tamil Nadu
STU00051,Unnati Tara,bhavini41@example.net,09763350433,GGSIPU,MCA,7.49,0,1,2,React|Machine Learning|Power BI|Deep Learning|Tableau|NLP|Excel,2,2024,0,1,1,Bardhaman,Maharashtra
STU00052,Isha Suresh,deovedhika@example.net,2659904381,BVICAM Delhi,ME,6.85,0,1,4,Cloud AWS|Java|React|Django|Power BI|R|Cloud Azure|Node.js,5,2025,1,0,1,Pudukkottai,Delhi
STU00053,Finn Sule,btripathi@example.com,+913467543781,Sharda Univ,MCA,6.59,0,1,5,React|Java|Tableau|R|Machine Learning|SQL|Spring Boot|Excel,1,2025,0,0,1,Ongole,Delhi
STU00054,Urvi Subramaniam,chaitaly63@example.org,7081483922,NSUT,EEE,7.75,0,1,1,React|C++|R,4,2025,1,0,1,Junagadh,Rajasthan
STU00055,Sudiksha Dewan,jkala@example.org,05981434789,NSUT,MCA,8.13,0,3,2,R|Cloud AWS|Tableau|React|Deep Learning|Machine Learning|Data Analysis,3,2024,1,1,1,Kavali,Tamil Nadu
STU00056,Aarav Banerjee,raksha81@example.net,4350250207,IGDTUW,ME,8.04,0,2,3,Node.js|R|React|Machine Learning|Excel|Power BI|Cloud AWS,1,2025,0,0,1,Siliguri,Punjab
STU00057,Vidhi Kanda,dugarsneha@example.net,6443181303,BVICAM Delhi,CSE,6.44,0,2,4,Node.js|Cloud AWS|Django|NLP|Spring Boot,1,2024,0,1,1,Navi Mumbai,UP
STU00058,Frederick Dixit,jagatmittal@example.com,+918874831477,IGDTUW,CSE,6.92,1,0,4,R|Cloud Azure|Spring Boot|Java|Excel|Cloud AWS|Node.js|Power BI,5,2025,0,0,1,Ballia,Haryana
STU00059,Kritika Arya,yashasvibhattacharyya@example.com,+911433610733,GGSIPU,BCA,7.5,0,1,4,SQL|Excel|Deep Learning,0,2024,0,0,1,Maheshtala,UP
STU00060,Tanmayi Master,zsaraf@example.net,6618499090,IP University,CSE,8.08,0,1,3,NLP|Java|Deep Learning,1,2025,0,1,1,Shivpuri,Maharashtra
STU00061,Hitesh Barman,sastryaarna@example.org,+910399576006,BVICAM Delhi,MBA,6.77,0,0,5,Excel|Node.js|R|C++|Spring Boot|NLP|Django,3,2025,0,0,1,Bahraich,Maharashtra
STU00062,Hritik Kala,suleraghav@example.org,+916866729883,Amity Noida,BBA,7.03,0,0,3,Cloud Azure|Machine Learning|React|Spring Boot|R,0,2024,1,1,1,Shimoga,West Bengal
STU00063,Libni Nazareth,vrittiatwal@example.org,6278452187,NSUT,CSE,6.2,0,3,3,Cloud AWS|Machine Learning|Python|Deep Learning|Cloud Azure|NLP|Data Analysis|Node.js,1,2025,0,0,1,Maheshtala,Karnataka
STU00064,Bhavini Hayer,ugopal@example.org,+917926264427,IGDTUW,IT,6.12,2,0,2,Java|Deep Learning|React|Python|Django|Power BI|Data Analysis|SQL,5,2024,1,1,1,Rajpur Sonarpur,Gujarat
STU00065,Michael Chopra,thakerbhavya@example.net,1853498852,Amity Noida,BCA,7.93,0,2,3,Machine Learning|Power BI|Spring Boot|React|Cloud Azure|Excel|R,0,2025,0,1,0,Raiganj,Punjab
STU00066,Sachi Bali,wsinha@example.net,08702814894,NSUT,CE,8.42,0,3,5,Cloud AWS|Python|Machine Learning,4,2024,0,1,1,Bhimavaram,Haryana
STU00067,Gavin Sanghvi,bhavnavohra@example.com,07787868733,Amity Noida,MCA,7.14,0,0,2,Spring Boot|NLP|Excel,5,2024,0,1,1,Mangalore,Maharashtra
STU00068,Theodore Sachdev,jnagy@example.com,02249489380,Bennett Univ,ME,8.1,0,0,1,C++|Spring Boot|Excel|React|Machine Learning|SQL,3,2025,0,1,1,Mahbubnagar,Punjab
STU00069,Aryan Sawhney,parmaryahvi@example.net,+910494288976,Jamia Hamdard,BBA,7.53,0,1,4,Machine Learning|Java|Data Analysis|C++|Excel|Cloud Azure,5,2024,1,1,0,Ludhiana,Haryana
STU00070,Yutika Chanda,upadhyaylekha@example.com,4383008993,Sharda Univ,IT,6.62,0,1,2,SQL|Tableau|Python|Node.js|Cloud AWS|Power BI,1,2024,1,1,1,Gurgaon,Karnataka
STU00071,Benjamin Doctor,ranveermodi@example.com,07039879637,Jamia Hamdard,CE,7.53,0,1,2,Python|Machine Learning|R|SQL,5,2025,0,0,1,Gulbarga,Haryana
STU00072,Naveen Choudhary,tdeshpande@example.net,+915159738684,Jamia Hamdard,BBA,8.58,0,2,2,Python|Power BI|Machine Learning|Spring Boot|SQL,3,2025,0,1,1,Chandigarh,West Bengal
STU00073,Dhriti Mitra,upadhyaybanjeet@example.org,4983288465,GGSIPU,EEE,7.17,0,0,5,Java|Django|Deep Learning|Excel|NLP|Python|Cloud AWS,5,2025,0,1,1,Kirari Suleman Nagar,Rajasthan
STU00074,Peter Shenoy,noahsamra@example.com,6173564126,Sharda Univ,CE,8.61,0,0,1,R|SQL|Spring Boot|Node.js|Deep Learning|NLP|Cloud Azure,4,2025,0,1,1,Srikakulam,Punjab
STU00075,Balhaar De,lbajaj@example.net,00740069551,Jamia Hamdard,BCA,4.84,0,2,1,Tableau|Cloud Azure|React|Node.js|C++|Spring Boot|Power BI|Excel,2,2025,0,1,1,Ludhiana,Haryana
STU00076,Anya Patla,bimala90@example.org,+915329181546,IGDTUW,IT,7.94,0,3,4,SQL|Spring Boot|Cloud Azure,1,2024,0,1,1,Durg,Gujarat
STU00077,Vidhi Bakshi,amol93@example.org,01701094088,Bennett Univ,MBA,7.28,0,1,1,Cloud Azure|Java|Deep Learning|Node.js|R,1,2025,0,1,1,Tiruvottiyur,UP
STU00078,Damyanti Ratti,aditya93@example.com,+918650461961,NSUT,IT,6.93,0,2,3,Excel|Cloud Azure|Python|Deep Learning|NLP,5,2025,0,0,0,Imphal,Haryana
STU00079,Chanakya Bhattacharyya,aayushchaudry@example.net,+910578934395,Amity Noida,BBA,7.28,0,0,2,Cloud AWS|SQL|R|Data Analysis|NLP|Python|Java|Machine Learning,2,2024,0,1,1,Medininagar,Haryana
STU00080,Vihaan Yogi,ymanda@example.net,5051551470,Amity Noida,ECE,5.41,2,1,1,Java|SQL|Machine Learning|Excel,3,2025,0,1,1,Bhubaneswar,UP
STU00081,Anirudh Chandran,atwalazaan@example.com,+918819683631,NSUT,BBA,7.0,0,1,3,Django|Deep Learning|Java|C++|Tableau|Spring Boot,1,2024,0,0,1,Tirupati,Tamil Nadu
STU00082,Vyanjana Bala,priyamitra@example.com,1675579789,BVICAM Delhi,MCA,7.52,0,1,1,Cloud Azure|Power BI|R|Tableau|Machine Learning|Data Analysis|C++|Spring Boot,3,2025,0,1,0,Bhatpara,Haryana
STU00083,Madhavi Khatri,sonijhalak@example.org,2572987689,IGDTUW,MBA,8.53,0,1,5,Cloud Azure|Deep Learning|C++|Tableau|Python|Power BI|SQL|Django,0,2025,0,1,1,Dhanbad,Punjab
STU00084,Kamya Sha,xpant@example.com,+918424440277,Jamia Hamdard,MBA,6.73,2,1,1,NLP|Excel|Spring Boot|Cloud AWS|SQL,4,2024,0,1,0,Ahmedabad,Haryana
STU00085,Aradhana Murty,ahujatristan@example.org,6023046764,Jamia Hamdard,EEE,6.47,0,1,2,R|Machine Learning|Tableau,1,2024,0,0,1,Rourkela,Rajasthan
STU00086,Veer Pingle,balaydev@example.net,8862403140,Sharda Univ,BBA,6.75,2,2,4,NLP|Spring Boot|R|Excel|Java|React|Cloud AWS|Django,0,2025,0,1,1,Avadi,Rajasthan
STU00087,Anthony Dewan,vbhatt@example.org,+917549436715,Sharda Univ,CE,8.02,0,1,1,SQL|Spring Boot|Cloud AWS|Excel|Deep Learning,5,2024,0,1,1,Gwalior,Gujarat
STU00088,Janya Mohan,anamikadayal@example.net,+918956769793,Amity Noida,MCA,7.5,0,0,1,NLP|SQL|Power BI,3,2024,0,1,1,Gandhidham,Haryana
STU00089,Mugdha Dyal,aagrawal@example.net,+910331510784,Sharda Univ,MBA,6.72,0,2,4,Java|NLP|SQL|Power BI|Spring Boot,1,2025,0,1,1,Ulhasnagar,Maharashtra
STU00090,Luke Varkey,balanjagrati@example.net,+918923263090,Bennett Univ,MBA,7.66,0,2,3,SQL|Deep Learning|Cloud AWS|NLP,0,2025,0,0,1,Tenali,Haryana
STU00091,Harini Bhagat,udar@example.net,07070599605,NSUT,ECE,7.29,0,0,3,NLP|Node.js|Tableau|C++,0,2024,0,1,1,Muzaffarnagar,Gujarat
STU00092,Ridhi Natt,sborah@example.com,05090947427,BVICAM Delhi,BBA,8.07,0,0,3,Cloud AWS|R|Power BI|SQL,3,2024,0,1,1,Karimnagar,Rajasthan
STU00093,Rachita Rout,jyoti50@example.net,01545563362,NSUT,EEE,6.57,2,0,4,Excel|Deep Learning|Node.js|React|Cloud Azure|C++|Power BI,3,2025,0,1,1,Davanagere,Maharashtra
STU00094,Gavin Kar,taurora@example.org,02806555287,IP University,ME,6.91,0,2,2,Node.js|Data Analysis|C++,2,2024,0,1,1,Bardhaman,Punjab
STU00095,Yochana Ranganathan,yoshita45@example.org,00910002292,Jamia Hamdard,MCA,6.85,0,2,2,Python|Cloud Azure|Java|Tableau|Machine Learning,2,2025,0,1,1,Latur,UP
STU00096,Parth Bhardwaj,naksh07@example.org,8064767726,BVICAM Delhi,CSE,5.88,0,2,2,Node.js|R|Spring Boot|Excel|Deep Learning,2,2024,1,1,1,Salem,West Bengal
STU00097,Ekalinga Bhavsar,dharchandran@example.com,+919516506334,Sharda Univ,ME,7.47,0,1,1,Deep Learning|C++|Java|Django,3,2025,0,1,0,Gorakhpur,Rajasthan
STU00098,Wyatt Padmanabhan,davidbatta@example.net,+910159138329,IP University,BCA,7.43,0,1,1,Excel|R|Deep Learning|Tableau|Python|Node.js|Power BI,5,2024,0,0,1,Belgaum,Haryana
STU00099,Sara Batta,jasonkadakia@example.net,9731476499,NSUT,BCA,7.2,0,0,5,Django|Python|Cloud AWS|Cloud Azure|Excel|Spring Boot|NLP,5,2025,1,1,1,Kolkata,Haryana
STU00100,Hardik Shan,qasim94@example.com,+919066800151,Amity Noida,BBA,6.99,0,1,1,NLP|R|Java|Power BI|Machine Learning|React|Spring Boot|SQL,5,2025,1,1,1,Orai,Rajasthan
STU00101,Aahana Natarajan,abumb@example.org,00722771829,DTU,EEE,5.93,0,0,1,NLP|Deep Learning|Cloud AWS,2,2025,0,1,1,Maheshtala,Haryana
STU00102,Isaac Ravel,falak44@example.org,+910882604022,Bennett Univ,MBA,6.82,0,0,3,React|Cloud AWS|NLP|SQL|Excel|Data Analysis,2,2025,0,0,1,Nanded,UP
STU00103,Mitesh Dube,daksh39@example.org,02187341442,Sharda Univ,BCA,6.89,1,1,2,NLP|C++|SQL|Power BI|Spring Boot,5,2025,0,1,1,Ramagundam,Haryana
STU00104,Pahal Deshmukh,rkarnik@example.net,+917381004064,IP University,BBA,6.48,1,0,3,Machine Learning|Java|SQL|NLP|React|Tableau,0,2025,0,1,1,Morbi,Rajasthan
STU00105,Dalaja Chaudhary,chaddayamai@example.net,05275732426,IGDTUW,EEE,7.05,0,0,1,Data Analysis|Spring Boot|Cloud AWS|Deep Learning|Python|React|SQL|NLP,3,2025,1,0,1,Giridih,Gujarat
STU00106,Zarna Toor,wmenon@example.org,08211773550,Jamia Hamdard,ME,7.56,0,1,3,C++|Python|Power BI|Excel,2,2025,1,0,1,Gorakhpur,Karnataka
STU00107,Yauvani Ahluwalia,adyalata@example.com,+910904221197,Amity Noida,MCA,8.9,0,3,3,C++|R|SQL|Excel,0,2024,1,0,0,Aurangabad,Haryana
STU00108,Anjali Muni,manya51@example.com,+915647692868,Bennett Univ,BCA,7.36,0,1,1,Deep Learning|Spring Boot|Power BI|Data Analysis|React|Cloud Azure|NLP,1,2024,0,1,1,Narasaraopet,Maharashtra
STU00109,Brijesh Sekhon,utkarshmanda@example.org,06405945936,Jamia Hamdard,CSE,7.43,0,0,4,Spring Boot|Data Analysis|React|Cloud AWS|Machine Learning,0,2024,0,1,0,Bellary,Rajasthan
STU00110,Dayita Mistry,chameli63@example.org,6137539016,Bennett Univ,BBA,7.13,0,1,4,R|NLP|SQL,2,2025,0,1,0,Dhanbad,Gujarat
STU00111,Xavier Dave,csamra@example.com,7910135652,Bennett Univ,MBA,5.47,2,0,2,Java|C++|R|Node.js|SQL|Cloud Azure|Power BI,2,2024,0,0,1,Bally,Gujarat
STU00112,Samesh Sarkar,nilimacheema@example.net,7813272451,Sharda Univ,BBA,7.18,0,0,3,SQL|Django|Power BI|Deep Learning|React|Spring Boot|Cloud AWS,0,2025,0,0,1,Dehradun,Delhi
STU00113,Lakshmi Sharma,kashvibhasin@example.com,09197415057,GGSIPU,ME,7.25,0,2,5,Tableau|Cloud Azure|Python|Excel|NLP|Machine Learning|R|Django,2,2025,0,1,1,Ballia,Maharashtra
STU00114,Jack Palla,bhaktaavi@example.com,3272581889,IGDTUW,MCA,9.42,0,1,4,NLP|R|Spring Boot|Cloud Azure,3,2025,0,1,1,Shahjahanpur,Gujarat
STU00115,Priya Mangal,pdeol@example.org,1102891103,NSUT,MCA,7.03,0,0,2,Machine Learning|React|Excel,3,2024,0,0,1,Unnao,Maharashtra
STU00116,Oviya Sundaram,wriddhishsrivastava@example.net,8866236923,Jamia Hamdard,CE,7.47,0,2,5,Power BI|Node.js|React|Excel,3,2025,0,1,0,Sri Ganganagar,Karnataka
STU00117,Gabriel Mani,abha74@example.com,08254104239,NSUT,CSE,7.17,0,1,1,Node.js|Spring Boot|Deep Learning|Machine Learning|Python,5,2024,0,1,1,Sri Ganganagar,Delhi
STU00118,Diya Prabhu,ati44@example.com,+915317790877,NSUT,EEE,6.15,1,0,5,Spring Boot|Deep Learning|SQL|Tableau|Machine Learning,4,2025,0,0,1,Nellore,UP
STU00119,Harshil Varkey,cchowdhury@example.org,6066715927,IGDTUW,BCA,8.23,0,1,3,R|Tableau|Cloud AWS|Machine Learning|Python,3,2024,0,1,1,Suryapet,Gujarat
STU00120,Rajata Sunder,borahamsini@example.net,5979961665,NSUT,CE,7.88,0,0,5,Cloud AWS|Deep Learning|NLP|Machine Learning,3,2025,0,0,1,Munger,UP
STU00121,Triya Sachar,gavin42@example.org,04524002404,Sharda Univ,ME,7.91,0,3,5,Python|Node.js|Machine Learning|NLP|Cloud AWS|Cloud Azure|Deep Learning|Data Analysis,3,2024,0,1,1,Sambalpur,West Bengal
STU00122,Manbir Ahluwalia,amairauppal@example.net,05517562158,GGSIPU,CSE,6.38,1,0,2,C++|Tableau|Python|Excel|Power BI|Django|SQL,4,2025,0,0,0,Jamshedpur,Delhi
STU00123,Laksh Samra,libninatarajan@example.org,7366358825,NSUT,EEE,8.46,0,1,5,NLP|Node.js|Cloud AWS|Power BI|SQL|Excel|Machine Learning,4,2025,0,1,0,Dewas,Tamil Nadu
STU00124,Saanvi Dar,isaiahgoda@example.com,8110317329,Bennett Univ,ME,5.94,2,0,3,Tableau|Node.js|NLP|Excel|Power BI|Machine Learning|Data Analysis|R,3,2025,0,0,1,Medininagar,Haryana
STU00125,Varsha Shere,chakradhar22@example.net,2030062654,Amity Noida,ME,7.73,0,3,2,Deep Learning|SQL|Data Analysis,1,2025,0,1,1,Udupi,Gujarat
STU00126,Harsh Kaur,masterjeevika@example.net,1202785647,GGSIPU,IT,9.17,0,1,2,Excel|Spring Boot|Java|NLP|Machine Learning|C++|React,2,2024,0,0,1,Aurangabad,Maharashtra
STU00127,Arya Master,kardaniel@example.net,+918564808472,Jamia Hamdard,MBA,6.31,0,3,2,Node.js|Spring Boot|Tableau|Cloud AWS|R|Power BI|Cloud Azure|NLP,5,2024,1,1,1,Bally,Delhi
STU00128,Hemang Toor,bainsjackson@example.com,06065827570,Jamia Hamdard,CSE,6.69,0,1,2,Node.js|Power BI|Deep Learning|React|Python|Cloud Azure,2,2025,0,1,0,Pondicherry,Gujarat
STU00129,Gautam Singh,varghesewishi@example.org,1331781816,IP University,BCA,7.29,0,1,2,Machine Learning|Tableau|C++|Power BI|SQL|Data Analysis,0,2025,0,0,1,Parbhani,West Bengal
STU00130,Maanav Pillai,dev78@example.com,09445469517,DTU,MBA,6.75,0,0,4,NLP|SQL|Cloud AWS|Spring Boot|Java|Django|Node.js,0,2025,0,1,1,Amritsar,Tamil Nadu
STU00131,Victor Guha,bsibal@example.com,+912862871784,GGSIPU,CSE,5.8,0,1,5,Data Analysis|Excel|Java|NLP|Node.js,5,2025,0,1,0,Eluru,Tamil Nadu
STU00132,Amol Gala,manthan51@example.net,08098218166,Bennett Univ,CE,7.26,0,1,3,Excel|Spring Boot|R|Django|SQL|React|Data Analysis,3,2025,0,0,0,Maheshtala,Karnataka
STU00133,Pooja Dyal,reyanshbajwa@example.com,03517533365,IP University,IT,6.24,0,1,5,React|Django|Data Analysis|Java|Deep Learning|Spring Boot|Python,1,2024,0,1,1,Khammam,UP
STU00134,Girish Bail,sachi24@example.net,06882679852,GGSIPU,MCA,7.63,0,1,5,Django|React|Java,3,2025,0,1,1,New Delhi,Tamil Nadu
STU00135,Zarna Yohannan,osharma@example.com,+919584929554,Jamia Hamdard,EEE,6.37,0,1,1,SQL|Java|Cloud Azure|Power BI|Data Analysis|Django|Machine Learning,3,2024,1,1,1,Jorhat,Maharashtra
STU00136,Matthew Kumar,rhalder@example.org,9412226180,IGDTUW,CE,8.59,0,2,4,React|Cloud AWS|Django|Java|NLP|Cloud Azure,0,2024,0,1,1,Jamshedpur,Gujarat
STU00137,Anya Thakkar,kamalanagar@example.com,+910954943855,DTU,CSE,6.5,0,1,2,Deep Learning|React|Cloud Azure,3,2025,0,1,1,Erode,UP
